gsis_id,player,position,team,year_signed,years,fa_year,apy,total_value,total_guaranteed,guarantee_pct,draft_round,draft_overall,draft_year,inflated_apy
00-0036554,Nico Collins,WR,Texans,2024,3.0,2027.0,24250000.0,72750000.0,32116000.0,0.4414570446735395,3.0,89.0,2021.0,28.598669
00-0036555,Chuba Hubbard,RB,Panthers,2024,4.0,2028.0,8300000.000000001,33200000.000000004,12058000.0,0.36319277108433734,4.0,126.0,2021.0,9.78841
00-0036556,Brevin Jordan,TE,Texans,2025,1.0,2026.0,1720000.0,1720000.0,200000.0,0.11627906976744187,5.0,147.0,2021.0,1.85553
00-0036567,Elijah Mitchell,RB,Patriots,2026,1.0,2027.0,1215000.0,1215000.0,0.0,0.0,6.0,194.0,2021.0,1.215
00-0036569,Gary Brightwell,RB,Bengals,2026,1.0,2027.0,1145000.0,1145000.0,0.0,0.0,6.0,196.0,2021.0,1.145
00-0036590,Quintin Morris,TE,Jaguars,2026,1.0,2027.0,2000000.0,2000000.0,1700000.0,0.85,,,2021.0,2.0
00-0036613,Jaylen Waddle,WR,MIA/DEN,2024,3.0,2027.0,28250000.0,84750000.0,35978546.0,0.42452561651917403,1.0,6.0,2021.0,33.315975
00-0036626,Dyami Brown,WR,Commanders,2026,1.0,2027.0,1750000.0,1750000.0,250000.0,0.14285714285714285,3.0,82.0,2021.0,1.75
00-0036628,John Bates,TE,Commanders,2025,3.0,2028.0,7000000.0,21000000.0,11520000.0,0.5485714285714286,4.0,124.0,2021.0,7.551576
00-0036630,Tylan Wallace,WR,Browns,2026,1.0,2027.0,1402500.0,1402500.0,125000.0,0.08912655971479501,4.0,131.0,2021.0,1.4025
00-0036635,Ihmir Smith-Marsette,WR,Cardinals,2026,1.0,2027.0,1215000.0,1215000.0,0.0,0.0,5.0,157.0,2021.0,1.215
00-0036637,Noah Gray,TE,Chiefs,2024,3.0,2027.0,6000000.0,18000000.0,10016000.0,0.5564444444444444,5.0,162.0,2021.0,7.075959
00-0036646,Simi Fehoko,WR,Cardinals,2026,1.0,2027.0,1402500.0,1402500.0,1262500.0,0.9001782531194296,5.0,179.0,2021.0,1.4025
00-0036679,Shane Buechele,QB,Bills,2026,1.0,2027.0,1150000.0,1150000.0,50000.0,0.04347826086956522,,,2021.0,1.15
00-0036741,Jack Stoll,TE,Browns,2026,1.0,2027.0,1315000.0,1315000.0,0.0,0.0,,,2021.0,1.315
00-0036754,Brock Wright,TE,Lions,2024,3.0,2027.0,4000000.0,12000000.0,4600000.0,0.3833333333333333,,,2021.0,4.717306
00-0036755,Jaret Patterson,RB,Chargers,2026,1.0,2027.0,1145000.0,1145000.0,0.0,0.0,,,2021.0,1.145
00-0036775,Brandon Smith,WR,Steelers,2026,1.0,2027.0,885000.0,885000.0,0.0,0.0,,,2021.0,0.885
00-0036841,Austin Trammell,WR,Jaguars,2026,1.0,2027.0,1155000.0,1155000.0,10000.0,0.008658008658008658,,,2021.0,1.155
00-0036842,Kene Nwangwu,RB,Jets,2026,1.0,2027.0,2000000.0,2000000.0,1000000.0,0.5,4.0,119.0,2021.0,2.0
00-0036849,Tutu Atwell,WR,Dolphins,2026,1.0,2027.0,1402500.0,1402500.0,1075000.0,0.766488413547237,2.0,57.0,2021.0,1.4025
00-0036862,Bennett Skowronek,WR,Steelers,2025,2.0,2027.0,2250000.0,4500000.0,1080000.0,0.24000000000000002,7.0,249.0,2021.0,2.427292
00-0036875,Rhamondre Stevenson,RB,Patriots,2024,4.0,2028.0,9000000.0,36000000.0,17116000.0,0.47544444444444445,4.0,120.0,2021.0,10.613939
00-0036876,Kylen Granson,TE,Titans,2026,1.0,2027.0,1402500.0,1402500.0,625000.0,0.44563279857397503,4.0,127.0,2021.0,1.4025
